model,repeat,k,full,top_k
uni2,20,20,0.5555555555555556,0.35714285714285715
uni2,20,50,0.5555555555555556,0.4603174603174603
uni2,20,100,0.5555555555555556,0.4603174603174603
uni2,20,200,0.5555555555555556,0.5555555555555556
uni2,20,500,0.5555555555555556,0.5555555555555556
uni2,20,1000,0.5555555555555556,0.5555555555555556
uni2,21,20,0.5555555555555556,0.34920634920634924
uni2,21,50,0.5555555555555556,0.5
uni2,21,100,0.5555555555555556,0.6031746031746031
uni2,21,200,0.5555555555555556,0.5555555555555556
uni2,21,500,0.5555555555555556,0.6031746031746031
uni2,21,1000,0.5555555555555556,0.5555555555555556
uni2,22,20,0.5555555555555556,0.4047619047619047
uni2,22,50,0.5555555555555556,0.4523809523809524
uni2,22,100,0.5555555555555556,0.5555555555555556
uni2,22,200,0.5555555555555556,0.5555555555555556
uni2,22,500,0.5555555555555556,0.5079365079365079
uni2,22,1000,0.5555555555555556,0.5555555555555556
uni2,23,20,0.5634920634920634,0.30952380952380953
uni2,23,50,0.5634920634920634,0.4603174603174603
uni2,23,100,0.5634920634920634,0.6190476190476191
uni2,23,200,0.5634920634920634,0.6190476190476191
uni2,23,500,0.5634920634920634,0.611111111111111
uni2,23,1000,0.5634920634920634,0.5079365079365079
uni2,24,20,0.611111111111111,0.5
uni2,24,50,0.611111111111111,0.5555555555555555
uni2,24,100,0.611111111111111,0.611111111111111
uni2,24,200,0.611111111111111,0.611111111111111
uni2,24,500,0.611111111111111,0.611111111111111
uni2,24,1000,0.611111111111111,0.611111111111111
uni2,25,20,0.5,0.4047619047619048
uni2,25,50,0.5,0.5079365079365079
uni2,25,100,0.5,0.611111111111111
uni2,25,200,0.5,0.5079365079365079
uni2,25,500,0.5,0.4523809523809524
uni2,25,1000,0.5,0.5476190476190477
uni2,26,20,0.6031746031746031,0.41269841269841273
uni2,26,50,0.6031746031746031,0.611111111111111
uni2,26,100,0.6031746031746031,0.6031746031746031
uni2,26,200,0.6031746031746031,0.6031746031746031
uni2,26,500,0.6031746031746031,0.6031746031746031
uni2,26,1000,0.6031746031746031,0.6031746031746031
uni2,27,20,0.5158730158730158,0.4047619047619048
uni2,27,50,0.5158730158730158,0.5079365079365079
uni2,27,100,0.5158730158730158,0.5555555555555555
uni2,27,200,0.5158730158730158,0.611111111111111
uni2,27,500,0.5158730158730158,0.5158730158730158
uni2,27,1000,0.5158730158730158,0.5158730158730158
uni2,28,20,0.611111111111111,0.3095238095238095
uni2,28,50,0.611111111111111,0.5555555555555556
uni2,28,100,0.611111111111111,0.611111111111111
uni2,28,200,0.611111111111111,0.6587301587301587
uni2,28,500,0.611111111111111,0.6587301587301587
uni2,28,1000,0.611111111111111,0.6587301587301587
uni2,29,20,0.6111111111111112,0.4047619047619048
uni2,29,50,0.6111111111111112,0.5079365079365079
uni2,29,100,0.6111111111111112,0.6587301587301587
uni2,29,200,0.6111111111111112,0.6587301587301587
uni2,29,500,0.6111111111111112,0.6111111111111112
uni2,29,1000,0.6111111111111112,0.6587301587301587
uni2,30,20,0.5158730158730159,0.41269841269841273
uni2,30,50,0.5158730158730159,0.6111111111111112
uni2,30,100,0.5158730158730159,0.5634920634920635
uni2,30,200,0.5158730158730159,0.5158730158730159
uni2,30,500,0.5158730158730159,0.5634920634920635
uni2,30,1000,0.5158730158730159,0.5158730158730159
uni2,31,20,0.4603174603174603,0.4682539682539682
uni2,31,50,0.4603174603174603,0.5079365079365079
uni2,31,100,0.4603174603174603,0.5555555555555556
uni2,31,200,0.4603174603174603,0.5555555555555556
uni2,31,500,0.4603174603174603,0.4603174603174603
uni2,31,1000,0.4603174603174603,0.4603174603174603
uni2,32,20,0.4523809523809524,0.30158730158730157
uni2,32,50,0.4523809523809524,0.5079365079365079
uni2,32,100,0.4523809523809524,0.5079365079365079
uni2,32,200,0.4523809523809524,0.5555555555555556
uni2,32,500,0.4523809523809524,0.5079365079365079
uni2,32,1000,0.4523809523809524,0.5
uni2,33,20,0.5079365079365079,0.3650793650793651
uni2,33,50,0.5079365079365079,0.5555555555555556
uni2,33,100,0.5079365079365079,0.5079365079365079
uni2,33,200,0.5079365079365079,0.5555555555555556
uni2,33,500,0.5079365079365079,0.5079365079365079
uni2,33,1000,0.5079365079365079,0.5079365079365079
uni2,34,20,0.5,0.34920634920634924
uni2,34,50,0.5,0.4523809523809524
