split,k,gigapath_full_balacc,gigapath_full_f1,gigapath_topk_balacc,gigapath_topk_f1,uni2_full_balacc,uni2_full_f1,uni2_topk_balacc,uni2_topk_f1,virchow2_full_balacc,virchow2_full_f1,virchow2_topk_balacc,virchow2_topk_f1
15,500,0.5,0.4444444444444444,0.8333333333333334,0.7777777777777777,0.5,0.4444444444444444,0.5,0.4444444444444444,0.5,0.38888888888888884,0.5,0.38888888888888884
15,1000,0.5,0.4444444444444444,0.5,0.4444444444444444,0.5,0.4444444444444444,0.5,0.4444444444444444,0.5,0.38888888888888884,0.5,0.38888888888888884
15,1500,0.5,0.4444444444444444,0.5,0.4444444444444444,0.5,0.4444444444444444,0.5,0.4444444444444444,0.5,0.38888888888888884,0.5,0.38888888888888884
16,20,0.5,0.38888888888888884,0.6666666666666666,0.6,0.5,0.4444444444444444,0.0,0.0,0.5,0.5,0.0,0.0
16,50,0.5,0.38888888888888884,0.5,0.38888888888888884,0.5,0.4444444444444444,0.3333333333333333,0.2222222222222222,0.5,0.5,0.16666666666666666,0.2222222222222222
16,100,0.5,0.38888888888888884,0.5,0.38888888888888884,0.5,0.4444444444444444,0.5,0.38888888888888884,0.5,0.5,0.5,0.4444444444444444
16,200,0.5,0.38888888888888884,0.5,0.38888888888888884,0.5,0.4444444444444444,0.5,0.38888888888888884,0.5,0.5,0.5,0.4444444444444444
16,500,0.5,0.38888888888888884,0.5,0.38888888888888884,0.5,0.4444444444444444,0.5,0.38888888888888884,0.5,0.5,0.5,0.5
16,1000,0.5,0.38888888888888884,0.6666666666666666,0.6,0.5,0.4444444444444444,0.5,0.4444444444444444,0.5,0.5,0.5,0.5
16,1500,0.5,0.38888888888888884,0.5,0.38888888888888884,0.5,0.4444444444444444,0.5,0.4444444444444444,0.5,0.5,0.5,0.5
17,20,0.6666666666666666,0.5,0.3333333333333333,0.16666666666666666,0.8333333333333334,0.7777777777777777,0.8333333333333334,0.7777777777777777,0.6666666666666666,0.5,0.6666666666666666,0.4444444444444444
17,50,0.6666666666666666,0.5,0.6666666666666666,0.4444444444444444,0.8333333333333334,0.7777777777777777,0.8333333333333334,0.7777777777777777,0.6666666666666666,0.5,0.6666666666666666,0.5
17,100,0.6666666666666666,0.5,0.6666666666666666,0.4444444444444444,0.8333333333333334,0.7777777777777777,0.8333333333333334,0.7777777777777777,0.6666666666666666,0.5,0.6666666666666666,0.5
