model,repeat,k,full,top_k,full_f1,top_k_f1
gigapath,30,50,0.4682539682539682,0.4047619047619047,0.42962962962962964,0.3761904761904762
gigapath,30,100,0.4682539682539682,0.30158730158730157,0.42962962962962964,0.28690476190476194
gigapath,30,200,0.4682539682539682,0.3650793650793651,0.42962962962962964,0.32609351432880845
gigapath,30,500,0.4682539682539682,0.3650793650793651,0.42962962962962964,0.32609351432880845
gigapath,30,1000,0.4682539682539682,0.42063492063492064,0.42962962962962964,0.3618233618233619
gigapath,30,1500,0.4682539682539682,0.4682539682539682,0.42962962962962964,0.42962962962962964
gigapath,31,20,0.5158730158730158,0.34920634920634913,0.483957219251337,0.35714285714285715
gigapath,31,50,0.5158730158730158,0.5079365079365079,0.483957219251337,0.5024531024531024
gigapath,31,100,0.5158730158730158,0.5079365079365079,0.483957219251337,0.4982905982905983
gigapath,31,200,0.5158730158730158,0.4603174603174603,0.483957219251337,0.44979203802733214
gigapath,31,500,0.5158730158730158,0.5158730158730158,0.483957219251337,0.483957219251337
gigapath,31,1000,0.5158730158730158,0.5158730158730158,0.483957219251337,0.483957219251337
gigapath,31,1500,0.5158730158730158,0.5158730158730158,0.483957219251337,0.483957219251337
gigapath,32,20,0.4603174603174603,0.3412698412698412,0.4511784511784511,0.34298163709928414
gigapath,32,50,0.4603174603174603,0.3412698412698412,0.4511784511784511,0.3444444444444444
gigapath,32,100,0.4603174603174603,0.4047619047619048,0.4511784511784511,0.42023809523809524
gigapath,32,200,0.4603174603174603,0.4047619047619048,0.4511784511784511,0.40938228438228436
gigapath,32,500,0.4603174603174603,0.34920634920634913,0.4511784511784511,0.3611111111111111
gigapath,32,1000,0.4603174603174603,0.4603174603174603,0.4511784511784511,0.4511784511784511
gigapath,32,1500,0.4603174603174603,0.4603174603174603,0.4511784511784511,0.4511784511784511
gigapath,33,20,0.6111111111111112,0.3412698412698412,0.595068330362448,0.3427350427350427
gigapath,33,50,0.6111111111111112,0.5,0.595068330362448,0.5079365079365079
gigapath,33,100,0.6111111111111112,0.5,0.595068330362448,0.49206349206349204
gigapath,33,200,0.6111111111111112,0.5,0.595068330362448,0.5008547008547009
gigapath,33,500,0.6111111111111112,0.5079365079365079,0.595068330362448,0.49999999999999994
gigapath,33,1000,0.6111111111111112,0.5555555555555555,0.595068330362448,0.5555555555555556
gigapath,33,1500,0.6111111111111112,0.6111111111111112,0.595068330362448,0.595068330362448
gigapath,34,20,0.5158730158730158,0.29365079365079366,0.4851851851851852,0.28690476190476194
gigapath,34,50,0.5158730158730158,0.4047619047619047,0.4851851851851852,0.3888888888888889
gigapath,34,100,0.5158730158730158,0.4047619047619047,0.4851851851851852,0.3871794871794872
gigapath,34,200,0.5158730158730158,0.5079365079365079,0.4851851851851852,0.494017094017094
gigapath,34,500,0.5158730158730158,0.5158730158730158,0.4851851851851852,0.483957219251337
gigapath,34,1000,0.5158730158730158,0.5158730158730158,0.4851851851851852,0.4851851851851852
gigapath,34,1500,0.5158730158730158,0.5158730158730158,0.4851851851851852,0.4851851851851852
gigapath,35,20,0.3095238095238095,0.3412698412698412,0.29235209235209236,0.35353535353535354
gigapath,35,50,0.3095238095238095,0.34920634920634913,0.29235209235209236,0.32861952861952864
gigapath,35,100,0.3095238095238095,0.25396825396825395,0.29235209235209236,0.24774354186118894
gigapath,35,200,0.3095238095238095,0.3095238095238095,0.29235209235209236,0.2888888888888889
gigapath,35,500,0.3095238095238095,0.3095238095238095,0.29235209235209236,0.29235209235209236
gigapath,35,1000,0.3095238095238095,0.35714285714285715,0.29235209235209236,0.34920634920634913
gigapath,35,1500,0.3095238095238095,0.3095238095238095,0.29235209235209236,0.29235209235209236
gigapath,36,20,0.4047619047619048,0.4444444444444444,0.40277777777777773,0.4444444444444444
gigapath,36,50,0.4047619047619048,0.3968253968253968,0.40277777777777773,0.420211161387632
gigapath,36,100,0.4047619047619048,0.36507936507936506,0.40277777777777773,0.34761904761904766
gigapath,36,200,0.4047619047619048,0.4126984126984126,0.40277777777777773,0.3888888888888889
gigapath,36,500,0.4047619047619048,0.35714285714285715,0.40277777777777773,0.34978354978354975
gigapath,36,1000,0.4047619047619048,0.4047619047619048,0.40277777777777773,0.40277777777777773
gigapath,36,1500,0.4047619047619048,0.4047619047619048,0.40277777777777773,0.40277777777777773
gigapath,37,20,0.35714285714285715,0.5,0.34722222222222227,0.5094017094017094
gigapath,37,50,0.35714285714285715,0.30158730158730157,0.34722222222222227,0.31075460487225187
gigapath,37,100,0.35714285714285715,0.24603174603174605,0.34722222222222227,0.27388167388167384
gigapath,37,200,0.35714285714285715,0.24603174603174605,0.34722222222222227,0.2527472527472528
gigapath,37,500,0.35714285714285715,0.35714285714285715,0.34722222222222227,0.34722222222222227
gigapath,37,1000,0.35714285714285715,0.35714285714285715,0.34722222222222227,0.33945221445221446
gigapath,37,1500,0.35714285714285715,0.35714285714285715,0.34722222222222227,0.34722222222222227
gigapath,38,20,0.4682539682539682,0.4523809523809524,0.42278554778554783,0.4523809523809524
gigapath,38,50,0.4682539682539682,0.4047619047619048,0.42278554778554783,0.39926739926739924
gigapath,38,100,0.4682539682539682,0.35714285714285715,0.42278554778554783,0.3553113553113553
gigapath,38,200,0.4682539682539682,0.30158730158730157,0.42278554778554783,0.30158730158730157
gigapath,38,500,0.4682539682539682,0.35714285714285715,0.42278554778554783,0.3553113553113553
gigapath,38,1000,0.4682539682539682,0.4126984126984126,0.42278554778554783,0.3871794871794872
gigapath,38,1500,0.4682539682539682,0.4682539682539682,0.42278554778554783,0.42278554778554783
gigapath,39,20,0.4603174603174603,0.23809523809523805,0.44979203802733214,0.2450980392156863
gigapath,39,50,0.4603174603174603,0.24603174603174602,0.44979203802733214,0.2512820512820513
gigapath,39,100,0.4603174603174603,0.35714285714285715,0.44979203802733214,0.3529581529581529
gigapath,39,200,0.4603174603174603,0.4603174603174603,0.44979203802733214,0.45483405483405476
gigapath,39,500,0.4603174603174603,0.4603174603174603,0.44979203802733214,0.45104895104895104
gigapath,39,1000,0.4603174603174603,0.4603174603174603,0.44979203802733214,0.44979203802733214
gigapath,39,1500,0.4603174603174603,0.4603174603174603,0.44979203802733214,0.44979203802733214
gigapath,40,20,0.4047619047619048,0.2857142857142857,0.40938228438228436,0.2591093117408907
gigapath,40,50,0.4047619047619048,0.29365079365079366,0.40938228438228436,0.2982905982905983
gigapath,40,100,0.4047619047619048,0.34920634920634913,0.40938228438228436,0.36594516594516585
gigapath,40,200,0.4047619047619048,0.34920634920634913,0.40938228438228436,0.36594516594516585
gigapath,40,500,0.4047619047619048,0.4047619047619048,0.40938228438228436,0.40938228438228436
gigapath,40,1000,0.4047619047619048,0.4047619047619048,0.40938228438228436,0.40938228438228436
gigapath,40,1500,0.4047619047619048,0.4047619047619048,0.40938228438228436,0.40938228438228436
gigapath,41,20,0.25396825396825395,0.25396825396825395,0.2261904761904762,0.24523809523809526
gigapath,41,50,0.25396825396825395,0.23809523809523805,0.2261904761904762,0.24273504273504276
gigapath,41,100,0.25396825396825395,0.29365079365079366,0.2261904761904762,0.30036630036630035
gigapath,41,200,0.25396825396825395,0.39682539682539675,0.2261904761904762,0.39145299145299145
gigapath,41,500,0.25396825396825395,0.34920634920634913,0.2261904761904762,0.33997113997114
gigapath,41,1000,0.25396825396825395,0.30158730158730157,0.2261904761904762,0.26666666666666666
gigapath,41,1500,0.25396825396825395,0.25396825396825395,0.2261904761904762,0.2261904761904762
gigapath,42,20,0.35714285714285715,0.39682539682539675,0.34722222222222227,0.3942279942279942
gigapath,42,50,0.35714285714285715,0.30952380952380953,0.34722222222222227,0.30036630036630035
gigapath,42,100,0.35714285714285715,0.30952380952380953,0.34722222222222227,0.2974941724941725
gigapath,42,200,0.35714285714285715,0.35714285714285715,0.34722222222222227,0.34722222222222227
gigapath,42,500,0.35714285714285715,0.35714285714285715,0.34722222222222227,0.34722222222222227
gigapath,42,1000,0.35714285714285715,0.35714285714285715,0.34722222222222227,0.34722222222222227
gigapath,42,1500,0.35714285714285715,0.35714285714285715,0.34722222222222227,0.34722222222222227
gigapath,43,20,0.5079365079365079,0.30158730158730157,0.494017094017094,0.30256410256410254
gigapath,43,50,0.5079365079365079,0.4603174603174603,0.494017094017094,0.45104895104895104
gigapath,43,100,0.5079365079365079,0.39682539682539675,0.494017094017094,0.41269841269841273
gigapath,43,200,0.5079365079365079,0.4523809523809524,0.494017094017094,0.4603174603174603
gigapath,43,500,0.5079365079365079,0.5079365079365079,0.494017094017094,0.49999999999999994
gigapath,43,1000,0.5079365079365079,0.5079365079365079,0.494017094017094,0.494017094017094
gigapath,43,1500,0.5079365079365079,0.5079365079365079,0.494017094017094,0.494017094017094
gigapath,44,20,0.34920634920634913,0.36507936507936506,0.3516483516483517,0.34761904761904766
gigapath,44,50,0.34920634920634913,0.34920634920634913,0.3516483516483517,0.35714285714285715
gigapath,44,100,0.34920634920634913,0.30158730158730157,0.3516483516483517,0.2982905982905983
