repeat,fold,mean_accuracy,mean_balacc,mean_f1,attention_accuracy,attention_balacc,attention_f1
6,3,0.25,0.16666666666666666,0.13333333333333333,0.25,0.3333333333333333,0.13333333333333333
6,4,0.25,0.3333333333333333,0.2222222222222222,0.25,0.16666666666666666,0.13333333333333333
6,5,0.25,0.3333333333333333,0.16666666666666666,0.0,0.0,0.0
7,1,0.25,0.3333333333333333,0.16666666666666666,0.5,0.6666666666666666,0.5
7,2,0.25,0.16666666666666666,0.16666666666666666,0.5,0.5,0.38888888888888884
7,3,0.5,0.5,0.4444444444444444,0.25,0.3333333333333333,0.13333333333333333
7,4,0.25,0.3333333333333333,0.16666666666666666,0.25,0.3333333333333333,0.16666666666666666
7,5,0.25,0.3333333333333333,0.16666666666666666,0.0,0.0,0.0
8,1,0.25,0.3333333333333333,0.2222222222222222,0.5,0.6666666666666666,0.5
8,2,0.5,0.5,0.38888888888888884,0.5,0.5,0.38888888888888884
8,3,0.5,0.3333333333333333,0.26666666666666666,0.0,0.0,0.0
8,4,0.25,0.3333333333333333,0.16666666666666666,0.25,0.16666666666666666,0.13333333333333333
8,5,0.25,0.3333333333333333,0.16666666666666666,0.0,0.0,0.0
9,1,0.5,0.5,0.38888888888888884,0.0,0.0,0.0
9,2,0.5,0.5,0.38888888888888884,0.25,0.3333333333333333,0.13333333333333333
9,3,0.5,0.5,0.38888888888888884,0.5,0.5,0.38888888888888884
9,4,0.5,0.6666666666666666,0.5,0.25,0.3333333333333333,0.16666666666666666
9,5,0.25,0.3333333333333333,0.16666666666666666,0.25,0.3333333333333333,0.16666666666666666
10,1,0.25,0.3333333333333333,0.2222222222222222,0.25,0.3333333333333333,0.13333333333333333
10,2,0.5,0.5,0.5,0.25,0.16666666666666666,0.16666666666666666
10,3,0.5,0.3333333333333333,0.26666666666666666,0.0,0.0,0.0
10,4,0.25,0.3333333333333333,0.13333333333333333,0.25,0.16666666666666666,0.13333333333333333
10,5,0.0,0.0,0.0,0.0,0.0,0.0
11,1,0.25,0.16666666666666666,0.2222222222222222,0.0,0.0,0.0
11,2,0.5,0.5,0.38888888888888884,0.25,0.16666666666666666,0.16666666666666666
11,3,0.75,0.6666666666666666,0.5555555555555555,0.5,0.5,0.38888888888888884
11,4,0.25,0.3333333333333333,0.16666666666666666,0.75,0.8333333333333334,0.7777777777777777
11,5,0.5,0.5,0.5,0.25,0.16666666666666666,0.13333333333333333
12,1,0.25,0.3333333333333333,0.2222222222222222,0.25,0.3333333333333333,0.13333333333333333
12,2,0.25,0.16666666666666666,0.16666666666666666,0.25,0.16666666666666666,0.13333333333333333
12,3,0.25,0.16666666666666666,0.13333333333333333,0.25,0.3333333333333333,0.13333333333333333
12,4,0.5,0.6666666666666666,0.4444444444444444,0.25,0.3333333333333333,0.13333333333333333
12,5,0.5,0.6666666666666666,0.5,0.5,0.5,0.38888888888888884
13,1,0.25,0.3333333333333333,0.16666666666666666,0.25,0.3333333333333333,0.2222222222222222
13,2,0.25,0.3333333333333333,0.16666666666666666,0.25,0.3333333333333333,0.16666666666666666
13,3,0.25,0.16666666666666666,0.13333333333333333,0.5,0.5,0.38888888888888884
13,4,0.5,0.5,0.38888888888888884,0.25,0.16666666666666666,0.13333333333333333
13,5,0.25,0.3333333333333333,0.16666666666666666,0.25,0.3333333333333333,0.16666666666666666
