model,repeat,fold,accuracy,balanced_accuracy,macro_f1
uni_v2,28,5,0.5,0.5,0.5
uni_v2,29,1,0.25,0.16666666666666666,0.13333333333333333
uni_v2,29,2,0.5,0.5,0.5
uni_v2,29,3,1.0,1.0,1.0
uni_v2,29,4,1.0,1.0,1.0
uni_v2,29,5,0.5,0.6666666666666666,0.4444444444444444
uni_v2,30,1,0.75,0.6666666666666666,0.6
uni_v2,30,2,0.75,0.8333333333333334,0.7777777777777777
uni_v2,30,3,0.0,0.0,0.0
uni_v2,30,4,0.5,0.5,0.5
uni_v2,30,5,0.5,0.5,0.38888888888888884
uni_v2,31,1,0.25,0.16666666666666666,0.16666666666666666
uni_v2,31,2,0.75,0.8333333333333334,0.7777777777777777
uni_v2,31,3,0.5,0.5,0.4444444444444444
uni_v2,31,4,0.25,0.3333333333333333,0.2222222222222222
uni_v2,31,5,0.5,0.5,0.5
uni_v2,32,1,0.5,0.3333333333333333,0.2222222222222222
uni_v2,32,2,0.75,0.6666666666666666,0.5555555555555555
uni_v2,32,3,0.75,0.8333333333333334,0.7777777777777777
uni_v2,32,4,0.25,0.16666666666666666,0.16666666666666666
uni_v2,32,5,0.5,0.6666666666666666,0.4444444444444444
uni_v2,33,1,0.5,0.5,0.38888888888888884
uni_v2,33,2,0.5,0.5,0.4444444444444444
uni_v2,33,3,0.25,0.16666666666666666,0.13333333333333333
uni_v2,33,4,0.75,0.8333333333333334,0.7777777777777777
uni_v2,33,5,0.25,0.3333333333333333,0.2222222222222222
uni_v2,34,1,0.75,0.8333333333333334,0.7777777777777777
uni_v2,34,2,0.5,0.5,0.38888888888888884
uni_v2,34,3,0.5,0.5,0.4444444444444444
uni_v2,34,4,0.25,0.16666666666666666,0.16666666666666666
uni_v2,34,5,0.25,0.3333333333333333,0.2222222222222222
uni_v2,35,1,0.0,0.0,0.0
uni_v2,35,2,0.25,0.3333333333333333,0.2222222222222222
uni_v2,35,3,0.5,0.5,0.38888888888888884
uni_v2,35,4,0.75,0.8333333333333334,0.7777777777777777
uni_v2,35,5,0.25,0.16666666666666666,0.13333333333333333
uni_v2,36,1,0.5,0.5,0.4444444444444444
uni_v2,36,2,0.75,0.8333333333333334,0.7777777777777777
uni_v2,36,3,0.5,0.3333333333333333,0.26666666666666666
uni_v2,36,4,0.5,0.6666666666666666,0.4444444444444444
uni_v2,36,5,0.25,0.3333333333333333,0.2222222222222222
uni_v2,37,1,0.75,0.6666666666666666,0.5555555555555555
uni_v2,37,2,0.5,0.5,0.38888888888888884
uni_v2,37,3,0.25,0.3333333333333333,0.16666666666666666
uni_v2,37,4,0.75,0.8333333333333334,0.7777777777777777
uni_v2,37,5,0.75,0.8333333333333334,0.7777777777777777
uni_v2,38,1,0.5,0.5,0.4444444444444444
uni_v2,38,2,0.25,0.16666666666666666,0.2222222222222222
uni_v2,38,3,0.5,0.5,0.4444444444444444
uni_v2,38,4,0.5,0.6666666666666666,0.5
uni_v2,38,5,0.5,0.5,0.5
uni_v2,39,1,0.25,0.16666666666666666,0.16666666666666666
uni_v2,39,2,0.25,0.3333333333333333,0.2222222222222222
uni_v2,39,3,0.75,0.6666666666666666,0.5555555555555555
uni_v2,39,4,0.75,0.6666666666666666,0.6
uni_v2,39,5,0.75,0.8333333333333334,0.7777777777777777
uni_v2,40,1,0.5,0.5,0.38888888888888884
uni_v2,40,2,0.25,0.3333333333333333,0.16666666666666666
uni_v2,40,3,1.0,1.0,1.0
uni_v2,40,4,0.5,0.6666666666666666,0.4444444444444444
uni_v2,40,5,0.75,0.6666666666666666,0.5555555555555555
uni_v2,41,1,0.25,0.16666666666666666,0.16666666666666666
uni_v2,41,2,0.75,0.6666666666666666,0.6
uni_v2,41,3,0.0,0.0,0.0
uni_v2,41,4,0.5,0.5,0.5
