split,model,k,full,top_k
32,gigapath,1000,0.16666666666666666,0.16666666666666666
32,uni2,20,0.16666666666666666,0.5
32,uni2,50,0.16666666666666666,0.5
32,uni2,100,0.16666666666666666,0.16666666666666666
32,uni2,200,0.16666666666666666,0.16666666666666666
32,uni2,500,0.16666666666666666,0.16666666666666666
32,uni2,1000,0.16666666666666666,0.16666666666666666
32,virchow2,20,0.16666666666666666,0.16666666666666666
32,virchow2,50,0.16666666666666666,0.16666666666666666
32,virchow2,100,0.16666666666666666,0.16666666666666666
32,virchow2,200,0.16666666666666666,0.16666666666666666
32,virchow2,500,0.16666666666666666,0.16666666666666666
32,virchow2,1000,0.16666666666666666,0.16666666666666666
33,gigapath,20,0.8333333333333334,0.8333333333333334
33,gigapath,50,0.8333333333333334,0.5
33,gigapath,100,0.8333333333333334,0.5
33,gigapath,200,0.8333333333333334,0.8333333333333334
33,gigapath,500,0.8333333333333334,0.5
33,gigapath,1000,0.8333333333333334,0.8333333333333334
33,uni2,20,0.8333333333333334,0.8333333333333334
33,uni2,50,0.8333333333333334,0.8333333333333334
33,uni2,100,0.8333333333333334,0.8333333333333334
33,uni2,200,0.8333333333333334,0.8333333333333334
33,uni2,500,0.8333333333333334,0.8333333333333334
33,uni2,1000,0.8333333333333334,0.8333333333333334
33,virchow2,20,0.5,0.8333333333333334
33,virchow2,50,0.5,0.5
33,virchow2,100,0.5,0.5
33,virchow2,200,0.5,0.5
33,virchow2,500,0.5,0.5
33,virchow2,1000,0.5,0.5
34,gigapath,20,0.5,0.16666666666666666
34,gigapath,50,0.5,0.3333333333333333
34,gigapath,100,0.5,0.3333333333333333
34,gigapath,200,0.5,0.5
34,gigapath,500,0.5,0.5
34,gigapath,1000,0.5,0.6666666666666666
34,uni2,20,0.5,0.5
34,uni2,50,0.5,0.5
34,uni2,100,0.5,0.16666666666666666
34,uni2,200,0.5,0.5
34,uni2,500,0.5,0.5
34,uni2,1000,0.5,0.5
34,virchow2,20,0.5,0.0
34,virchow2,50,0.5,0.0
34,virchow2,100,0.5,0.0
34,virchow2,200,0.5,0.3333333333333333
34,virchow2,500,0.5,0.5
34,virchow2,1000,0.5,0.5
35,gigapath,20,0.3333333333333333,0.3333333333333333
35,gigapath,50,0.3333333333333333,0.6666666666666666
35,gigapath,100,0.3333333333333333,0.3333333333333333
35,gigapath,200,0.3333333333333333,0.3333333333333333
