model,aggregation,repeat,feature_dim,accuracy,balanced_accuracy,macro_f1
uni_v2,mean_std_median,39,4608,0.6,0.611111111111111,0.594017094017094
uni_v2,mean_std_median,40,4608,0.55,0.5555555555555556,0.5494505494505494
uni_v2,mean_std_median,41,4608,0.4,0.4047619047619048,0.39926739926739924
uni_v2,mean_std_median,42,4608,0.45,0.4603174603174603,0.4288600288600289
uni_v2,mean_std_median,43,4608,0.5,0.5079365079365079,0.49206349206349204
uni_v2,mean_std_median,44,4608,0.4,0.4047619047619048,0.39829059829059826
uni_v2,mean_std_median,45,4608,0.45,0.4523809523809524,0.44688644688644685
uni_v2,mean_std_median,46,4608,0.55,0.5555555555555556,0.5494505494505494
uni_v2,mean_std_median,47,4608,0.55,0.5555555555555556,0.5495726495726495
uni_v2,mean_std_median,48,4608,0.55,0.5555555555555556,0.5531135531135531
uni_v2,mean_std_median,49,4608,0.45,0.4603174603174603,0.4365079365079365
uni_v2,mean_std_median,50,4608,0.45,0.4603174603174603,0.4288600288600289
uni_v2,mean_std_quantiles,1,7680,0.4,0.4047619047619048,0.40256410256410263
uni_v2,mean_std_quantiles,2,7680,0.6,0.6031746031746031,0.6051282051282051
uni_v2,mean_std_quantiles,3,7680,0.55,0.5555555555555555,0.55007215007215
uni_v2,mean_std_quantiles,4,7680,0.5,0.5079365079365079,0.4981684981684982
uni_v2,mean_std_quantiles,5,7680,0.5,0.5,0.5051282051282051
uni_v2,mean_std_quantiles,6,7680,0.55,0.5555555555555556,0.5476190476190476
uni_v2,mean_std_quantiles,7,7680,0.55,0.5555555555555556,0.5538461538461538
uni_v2,mean_std_quantiles,8,7680,0.55,0.5476190476190477,0.5468975468975469
uni_v2,mean_std_quantiles,9,7680,0.6,0.6031746031746031,0.5952380952380952
uni_v2,mean_std_quantiles,10,7680,0.5,0.5079365079365079,0.5018315018315019
uni_v2,mean_std_quantiles,11,7680,0.6,0.611111111111111,0.5945165945165946
uni_v2,mean_std_quantiles,12,7680,0.45,0.4523809523809524,0.44688644688644685
uni_v2,mean_std_quantiles,13,7680,0.45,0.4603174603174603,0.447008547008547
uni_v2,mean_std_quantiles,14,7680,0.5,0.5079365079365079,0.49206349206349204
